activity,spot_type,spot_date
"3.1 Writing description chapters (6, 7)",D1,5
3.2 Writing cross analysis chapter (8),D2,8
3.5 Review State of the Art,D3,10
3.7 Write methods,D4,13
4.1 Review everything,D7,21
